word	ipa	russian_def	georgian_def
არყანი	arq'ani	палка	არგანი (ძვ. ქართ.), ჯოხი
არშიყუა	arʃiq'ua	ухаживание, флирт	არშიყობა
არძა, არძა- ართო	ard͡za, ard͡za-arto	все, всё//все вместе	ყველა, ყველა ერთად
არძო//არძა: არძო ართი რე	ard͡zo//ard͡za: ard͡zo arti re	все, всё > всё равно	ყველა(ფერი) > სულერთია
არწორი//არ(ი)წორო//აიწორო	art͡sori//ar(i)t͡soro//ait͡soro	целиком, сплошь	ერთიანად, მთლიანად
არხამა	arxama	сокровище, богатство из драгоценнстей	საუნჯე, ძვირფასი ნივთებისაგან დახვავებული სიმდიდრე
არხამაში	arxamaʃi	парча	ფარჩა
ასა!	asa	понукание, отпугивание свиньи	ღორის გასადენი შეძახილი > ასა!
ასე	ase	теперь, ныне	ახლა
ასეშა(ხ)	aseʃa(x)	до сих пор	აქამდე
ასეთი	aseti	и теперь, и ныне	ახლაც
ასეიანი//ასეჲანი	aseiani//asejani	нынешний	ახლანდელი
ასე-ხოლო	ase-xoli	сейчас же, сразу же	ახლაც, ახლა კიდევ
ასკილი	ask'ili	шиповник, дикая роза	ასკილი
ასხი	asxi	Асхи (гора в сев. Мегрелии)	ასხი (მთა ჩრდილო სამეგრელოში)
ატამა	at'ama	персик	ატამი
ატაჟა: ჟინი ატაჟაშე	at'aʒa: ʒini at'aʒaʃe	этаж > с верхнего этажа	სართული > ზემო სართულიდან
ატარი	at'ari	деревянная миска, кружка	ხის ჯამი, ტოლჩა
ატარია	at'aria	деревянная чашечка	ხის პატარა ჯამი
ატატია (თირი)	at'at'ia(tiri)	очень белый и мягкий снег	თეთრი და ფაფუკი თოვლი
ატლაზი	at'lazi	атлас (ткань)	ატლასი (ქსოვილი), სტავრა
ატუ!1	at'u!	восклицание > ату! ау!	წამოძახილი > აუ!
ატუ 2	at'u	имя волшебника (в сказках)	ჯადოქრის სახელი (ზღაპრებში)
აურე <(აჸურე)	aure <(a‘ure)	здесь, сюда, в эту сторону	აქეთ, აქეთ მხარეს
აურეშე <(აჸურეშე)	aureʃe<(a‘ureʃe)	отсюда	აქედან, აქეთა მხრიდან
აუფებული	aupebuli	вспотевший	გაოფლიანებული
აფრა	apra	1. два вертикальных бревна (основа дома), мосты (дома) 2. балка (для надочажной цепи)	ორი ვერტიკალური ძელი (სახლის საფუძველი), სახლის ხიდები. – ბოყვები 2. თავხე (მთავარი კოჭი), მომჭიმავი წრედი
აფსთა	apsta	река, ущелье	მდინარე, ხეობა
აფსო	apso	1. часть человеческого тела 2. буква	ადამიანის სხეულის ნაწილი, ასო 2. ასო (ბგერის ნიშანი)
აფუნი ср. ააფჷნ	apuni ср. სapən	весна	გაზაფხული
აფშარჰა см. აფშირჰა	apʃarha см. apʃirha		
აფშირჰა//აფშირა ср. აფშარჰა	apʃirha//apʃira ср. apʃarha	самодельный деревянный сосуд для кислого молока	ხის თვითნაკეთი ჭურჭელი, რომელსაც იყენებენ მაწვნისათვის 28 ა
აფხა см. აბხა.	apxa см. abxa	лопатка, плечо	ბეჭი
აფხაზა	apxaza	абхаз	აფხაზი
აფხაზეთი	apxazeti	Абхазия	აფხაზეთი
აფხანაგი//აფხანაკი	apxanagi//apxanak'i	товарищ, друг	ამხანაგი
აფხანაკი	apxanak'i	товарищ	ამხანაგი
